#M_p, a_p, am_o, am_f, em_o, max em, em_dot, sim_time, sim_time/P_p, stab_flag (0 = stable), done_flag (0 = done)
1.60,0.090,8.6519,15.8884,0.0000,0.0896,3.7135e-01,6.3000e+04,1.1190e+06,-1,0
1.20,0.088,8.6519,14.5745,0.0000,0.1044,3.7050e-01,2.7000e+04,4.9603e+05,-1,0
1.07,0.144,8.6519,22.1950,0.0000,0.1013,4.5828e-01,4.8100e+05,4.2215e+06,-1,0
1.55,0.128,8.6519,22.3395,0.0000,0.0954,4.4186e-01,6.1600e+05,6.4510e+06,-1,0
1.76,0.142,8.6519,25.8340,0.0000,0.0935,4.4796e-01,1.8470e+06,1.6554e+07,-1,0
1.57,0.140,8.6519,24.5220,0.0000,0.1014,4.4898e-01,1.1790e+06,1.0794e+07,-1,0
0.91,0.163,8.6519,23.8455,0.0000,0.0990,4.7026e-01,7.3100e+05,5.3272e+06,-1,0
1.70,0.175,8.6519,31.4491,0.0000,0.0802,4.6506e-01,5.4030e+06,3.5395e+07,-1,0
1.46,0.147,8.6519,25.1053,0.0000,0.0912,4.5510e-01,1.3230e+06,1.1258e+07,-1,0
0.80,0.173,8.6519,24.2066,0.0000,0.1060,4.4652e-01,7.4900e+05,4.9920e+06,-1,0
0.82,0.094,8.6519,13.6447,0.0000,0.0942,3.8789e-01,1.4000e+04,2.3297e+05,-1,0
1.00,0.081,8.6519,12.2233,0.0000,0.1051,5.1203e-01,7.4000e+03,1.5395e+05,-1,0
1.31,0.102,8.6519,16.9416,0.0000,0.1181,4.3536e-01,9.5000e+04,1.3986e+06,-1,0
0.91,0.116,8.6519,16.9488,0.0000,0.0946,4.2895e-01,7.2000e+04,8.7400e+05,-1,0
1.61,0.164,8.6519,29.0170,0.0000,0.3730,5.6392e-01,2.8510e+06,2.0587e+07,-1,0
1.65,0.101,8.6519,18.1196,0.0000,0.1081,4.1755e-01,1.6500e+05,2.4653e+06,-1,0
0.85,0.151,8.6519,21.5442,0.0000,0.0987,3.9370e-01,3.4700e+05,2.8361e+06,-1,0
1.74,0.116,8.6519,21.0942,0.0000,0.1014,4.2294e-01,4.7100e+05,5.7174e+06,-1,0
1.62,0.125,8.6519,22.0894,0.0000,0.0998,4.3154e-01,5.9700e+05,6.4785e+06,-1,0
1.53,0.090,8.6519,15.6237,0.0000,0.1016,3.6482e-01,6.4000e+04,1.1368e+06,-1,0
1.76,0.174,8.6519,31.5941,0.0000,0.0786,4.6716e-01,5.6270e+06,3.7181e+07,-1,0
1.09,0.083,8.6519,12.9682,0.0000,0.3398,4.9377e-01,1.6000e+04,3.2090e+05,-1,0
1.46,0.105,8.6519,17.9829,0.0000,0.1165,3.8578e-01,1.4900e+05,2.1002e+06,-1,0
1.74,0.118,8.6519,21.3766,0.0000,0.1070,4.3816e-01,5.2500e+05,6.2116e+06,-1,0
1.55,0.136,8.6519,23.6839,0.0000,0.0949,4.3012e-01,9.5600e+05,9.1414e+06,-1,0
0.85,0.113,8.6519,16.1796,0.0000,0.1086,3.3040e-01,5.1000e+04,6.4390e+05,-1,0
1.64,0.164,8.6519,29.0883,0.0000,0.0914,4.5020e-01,4.0090e+06,2.8949e+07,-1,0
1.65,0.124,8.6519,22.0910,0.0000,0.1003,4.2762e-01,5.9400e+05,6.5241e+06,-1,0
1.18,0.115,8.6519,18.2754,0.0000,0.0998,4.2854e-01,1.5000e+05,1.8446e+06,-1,0
1.68,0.095,8.6519,17.0027,0.0000,0.0876,4.0483e-01,1.0400e+05,1.7034e+06,-1,0
1.21,0.148,8.6519,23.7667,0.0000,0.0950,4.6053e-01,8.1800e+05,6.8901e+06,-1,0
1.34,0.122,8.6519,20.3699,0.0000,0.0971,4.3278e-01,3.1000e+05,3.4889e+06,-1,0
1.91,0.087,8.6519,16.3589,0.0000,0.1029,4.3557e-01,9.6000e+04,1.7941e+06,-1,0
1.67,0.099,8.6519,17.6626,0.0000,0.1112,3.8250e-01,1.4300e+05,2.2016e+06,-1,0
1.10,0.095,8.6519,14.8272,0.0000,0.0914,3.4434e-01,3.2000e+04,5.2412e+05,-1,0
0.89,0.085,8.6519,12.2999,0.0000,0.1102,3.3385e-01,7.6000e+03,1.4708e+05,-1,0
1.26,0.119,8.6519,19.3431,0.0000,0.0944,4.0417e-01,2.1400e+05,2.5001e+06,-1,0
1.29,0.146,8.6519,24.0453,0.0000,0.0932,4.5127e-01,9.0900e+05,7.8145e+06,-1,0
1.48,0.095,8.6519,16.3435,0.0000,0.0991,4.3101e-01,7.2000e+04,1.1793e+06,-1,0
0.87,0.155,8.6519,22.3151,0.0000,0.0984,4.6334e-01,4.3100e+05,3.3872e+06,-1,0
1.81,0.163,8.6519,29.8834,0.0000,0.0850,4.5216e-01,4.9380e+06,3.5986e+07,-1,0
1.79,0.089,8.6519,16.3984,0.0000,0.0973,3.4332e-01,8.5000e+04,1.5353e+06,-1,0
1.67,0.169,8.6519,30.1551,0.0000,0.0798,4.6075e-01,4.7540e+06,3.2817e+07,-1,0
1.10,0.150,8.6519,23.3192,0.0000,0.1051,4.3700e-01,7.0100e+05,5.7869e+06,-1,0
1.26,0.154,8.6519,25.0328,0.0000,0.0950,4.5825e-01,1.1770e+06,9.3403e+06,-1,0
1.21,0.177,8.6519,28.3646,0.0000,0.0997,4.4073e-01,2.7690e+06,1.7833e+07,-1,0
